2018 Rank,City,State,2018 Estimate,2010 Census,Change %,2016 land area(sq mi),2016 land area (km sq),2016 population density (/sq mi),2016 population density (/km sq),Location,Summary,Latitude,Longitude
129,Tempe,Arizona,192364,161719,+18.95,40.0  ,103.6 ,"4,562 ","1,761", ﻿33.3884°N 111.9318°W,"A temple (from the Latin word templum) is a building reserved for religious or spiritual rituals and activities such as prayer and sacrifice.  It is typically used for such buildings belonging to all faiths where a more specific term such as church, mosque or synagogue is not generally used in English.  These include Hinduism, Buddhism, and Jainism among religions with many modern followers, as well as other ancient religions such as Ancient Egyptian religion.
The form and function of temples is thus very variable, though they are often considered by believers to be in some sense the ""house"" of one or more deities.  Typically offerings of some sort are made to the deity, and other rituals enacted, and a special group of clergy maintain, and operate the temple.  The degree to which the whole population of believers can access the building varies significantly; often parts or even the whole main building can only be accessed by the clergy.  Temples typically have a main building and a larger precinct, which may contain many other buildings, or may be a dome shaped structure, much like an igloo.
The word comes from Ancient Rome, where a templum constituted a sacred precinct as defined by a priest, or augur. It has the same root as the word ""template"", a plan in preparation of the building that was marked out on the ground by the augur. Templa also became associated with the dwelling places of a god or gods. Despite the specific set of meanings associated with the word, it has now become widely used to describe a house of worship for any number of religions and is even used for time periods prior to the Romans.", ﻿33.3884,111.9318
130,McKinney,Texas,191645,131117,+46.16,63.0  ,163.2 ,"2,735 ","1,056", ﻿33.1985°N 96.6680°W,"McKinney is a city in and the county seat of Collin County, Texas, United States. It is Collin County's second-largest city, after Plano. Part of the Dallas-Fort Worth metroplex, McKinney is about 32 miles (51 km) north of Dallas.
The Census Bureau listed McKinney as the nation's fastest-growing city from 2000 to 2003 and again in 2006, among cities with more than 50,000 people. In 2007, it was ranked second-fastest-growing among cities with more than 100,000 people and in 2008 as third-fastest. In the 2010 census, the city's population was 131,117, making it Texas's 19th-most populous city. The most recent population estimate, produced by the city as of January 1, 2019, is 187,802. As of May 2017, McKinney City was the third-fastest-growing city in the United States.In 2014, McKinney was rated #1 by Money Magazine as ""Best Place to Live"" in America.", ﻿33.1985,96.6680
131,Mobile,Alabama,189572,195111,−2.84,139.4  ,361.0 ,"1,384 ",534, ﻿30.6684°N 88.1002°W,Summary not be fetched due to disambiguation, ﻿30.6684,88.1002
132,Cape Coral,Florida,189343,154305,+22.71,105.6  ,273.5 ,"1,703 ",658, ﻿26.6432°N 81.9974°W,"Cape Coral  is a city located in Lee County, Florida, United States, on the Gulf of Mexico.  Founded in 1957 and developed as a planned community, the city grew to a population of 154,305 by the year 2010. The city's population estimate was 165,831 for 2013 and 179,804 for 2016. With an area of 120 square miles (310 km2), Cape Coral is the largest city between Tampa and Miami. It is a principal city in the Cape Coral – Fort Myers, Florida Metropolitan Statistical Area. The population estimate for the statistical area was 679,513 for 2014. The city is known as a ""Waterfront Wonderland""; with over 400 mi (640 km) of navigable waterways.", ﻿26.6432,81.9974
133,Shreveport,Louisiana,188987,199311,−5.18,107.1  ,277.4 ,"1,820 ",700, ﻿32.4669°N 93.7922°W,"Shreveport ( SHREEV-port) is a city in the U.S. state of Louisiana. It is the most populous city in the Shreveport-Bossier City metropolitan area. Shreveport ranks third in population in Louisiana after New Orleans and Baton Rouge and 133rd in the U.S. The bulk of Shreveport is in Caddo Parish, of which it is the parish seat. Shreveport extends along the west bank of the Red River (most notably at Wright Island, the Charles and Marie Hamel Memorial Park, and Bagley Island) into neighboring Bossier Parish. The population of Shreveport was 199,311 as of the 2010 U.S. Census. The United States Census Bureau's 2018 estimate for the city's population decreased to 188,987.Shreveport was founded in 1836 by the Shreve Town Company, a corporation established to develop a town at the juncture of the newly navigable Red River and the Texas Trail, an overland route into the newly independent Republic of Texas. Prior to Texas becoming independent, this trail entered Mexico. The city grew throughout the 20th century and, after the discovery of oil in Louisiana, became a national center for the oil industry. Standard Oil of Louisiana (absorbed by Standard Oil of New Jersey and now part of ExxonMobil) and United Gas Corporation (now part of Pennzoil) were headquartered in the city until the 1960s and 1980s. After the loss of jobs in the oil industry, the close of Shreveport Operations (a General Motors vehicle factory), and other economic problems the city struggled with a declining population, poverty, drugs and violent crime. Since Cedric Glover's tenure as mayor of Shreveport, the city has revitalized its neighborhoods and roads to end its population decline, revive the economy through diversification, and lower crime.Shreveport is the educational, commercial and cultural center of the Ark-La-Tex region, where Arkansas, Louisiana, and Texas meet. It is the location of Centenary College of Louisiana, Louisiana State University Shreveport, Louisiana Tech University Shreveport, Southern University at Shreveport, and Louisiana Baptist University. Its neighboring city Bossier is the location of Bossier Parish Community College. The city forms part of the I-20 Cyber Corridor linking Shreveport, Bossier, Ruston, and Monroe to Dallas and Tyler, Texas, and Atlanta, Georgia. Companies with significant operations or headquarters in Shreveport are AT&T, Chase Bank, Capital One, Regions Financial Corporation, SWEPCO, UPS, General Electric, UOP LLC, Calumet Specialty Products Partners, and APS Payroll.", ﻿32.4669,93.7922
134,Frisco,Texas,188170,116989,+60.84,67.7  ,175.3 ,"2,417 ",933, ﻿33.1554°N 96.8226°W,"Frisco is a city in Collin and Denton counties in Texas. It is part of the Dallas–Fort Worth metroplex, and is approximately 25 miles (40 km) from both Dallas Love Field and Dallas/Fort Worth International Airport.
The city population was 116,989 at the 2010 census. As of April 1, 2019, the city had an estimated population of 186,087. Frisco was the fastest-growing city in the United States in 2017, and also the fastest-growing city in the nation from 2000 to 2009. In the late 1990s, the northern Dallas-Fort Worth metroplex suburban development tide hit the northern border of Plano and spilled into Frisco, sparking explosive growth into the 2000s. Like many of the cities in the northern suburbs of Dallas, Frisco serves as a bedroom community for many professionals who work in the Dallas-Fort Worth metroplex.
Since 2003, Frisco has received the designation ""Tree City USA"" by the National Arbor Day Foundation.", ﻿33.1554,96.8226
135,Knoxville,Tennessee,187500,178874,+4.82,98.5  ,255.1 ,"1,891 ",730, ﻿35.9707°N 83.9493°W,"Knoxville is a city in the U.S. state of Tennessee, and the county seat of Knox County. As of the 2010 census, the city has a population of 178,874, and is Tennessee's third largest city after Nashville and Memphis. Knoxville is the principal city of the Knoxville Metropolitan Statistical Area, which was 868,546 in 2015.First settled in 1786, Knoxville was the first capital of Tennessee. The city struggled with geographic isolation throughout the early 19th century. The arrival of the railroad in 1855 led to an economic boom. During the Civil War, the city was bitterly divided over the secession issue, and was occupied alternately by both Confederate and Union armies.  Following the war, Knoxville grew rapidly as a major wholesaling and manufacturing center.  The city's economy stagnated after the 1920's as the manufacturing sector collapsed, the downtown area declined and city leaders became entrenched in highly partisan political fights. Hosting the 1982 World's Fair helped reinvigorate the city, and revitalization initiatives by city leaders and private developers have had major successes in spurring growth in the city, especially the downtown area.Knoxville is the home of the flagship campus of the University of Tennessee, whose sports teams, the Tennessee Volunteers, are popular in the surrounding area. Knoxville is also home to the headquarters of the Tennessee Valley Authority, the Tennessee Supreme Court's courthouse for East Tennessee, and the corporate headquarters of several national and regional companies. As one of the largest cities in the Appalachian region, Knoxville has positioned itself in recent years as a repository of Appalachian culture and is one of the gateways to the Great Smoky Mountains National Park.", ﻿35.9707,83.9493
136,Worcester,Massachusetts,185877,181045,+2.67,37.4  ,96.9 ,"4,933 ","1,905", ﻿42.2695°N 71.8078°W,"Worcester ( (listen) WUUS-tər) is a city in  Worcestershire, England, 31 miles (50 km) southwest of Birmingham, 101 miles (163 km) west-northwest of London, 27 miles (43 km) north of Gloucester and 23 miles (37 km) northeast of Hereford. The population is approximately 100,000. The River Severn flanks the western side of the city centre, which is overlooked by Worcester Cathedral.
The Battle of Worcester in 1651 was the final battle of the English Civil War, where Oliver Cromwell's New Model Army defeated King Charles II's Royalists. Worcester is known as the home of Royal Worcester Porcelain, composer Edward Elgar, Lea & Perrins, makers of traditional Worcestershire sauce, University of Worcester, and Berrow's Worcester Journal, claimed to be the world's oldest newspaper.", ﻿42.2695,71.8078
137,Brownsville,Texas,183392,175023,+4.78,132.5  ,343.2 ,"1,387 ",536, ﻿25.9991°N 97.4550°W,"Brownsville () is a city in Cameron County in the U.S. state of Texas. It located on the western Gulf Coast in South Texas, adjacent to the border with Matamoros, Mexico. The city covers 81.528 square miles (211.157 km2) and has a population of 183,299 as of 2017. It is the 131st-largest city in the United States and 16th-largest in Texas. It is part of the Brownsville–Matamoros conurbation, with a population of 1,136,995 people. The city is known for its year-round subtropical climate, deep-water seaport and Hispanic culture.
The city was founded in 1848 by American entrepreneur Charles Stillman after he developed a successful river boat company nearby. It was named after Major Jacob Brown, who fought and died while serving as a U.S. Army soldier during the Mexican–American War (1846–48). As the city is the seat of government for the county of Cameron, the city and county government are major employers. Other primary employers fall within the service, trade and manufacturing industries, including a growing aerospace and space transportation sector. It operates international trading through the Port of Brownsville. The city experienced a population increase in the early 1900s when steel production flourished. Brownsville is frequently cited as having one of the highest poverty rates in the United States.
Due to significant historical events, the city has multiple houses and battle sites listed under the National Register of Historic Places. It was the scene of several key events of the American Civil War, such as the Battle of Brownsville and the Battle of Palmito Ranch. The city was also involved in the Texas Revolution as well as the Mexican–American War. Brownsville's idiosyncratic geographic location has made it a wildlife refuge center. Several state parks and historical sites are protected by the Texas Parks and Wildlife Department.", ﻿25.9991,97.4550
138,Vancouver,Washington,183012,161791,+13.12,46.9  ,121.5 ,"3,728 ","1,439", ﻿45.6349°N 122.5957°W,"Vancouver ( (listen)) is a coastal seaport city in western Canada, located in the Lower Mainland region of British Columbia. As the most populous city in the province, the 2016 census recorded 631,486 people in the city, up from 603,502 in 2011. The Greater Vancouver area had a population of 2,463,431 in 2016, making it the third-largest metropolitan area in Canada. Vancouver has the highest population density in Canada with over 5,400 people per square kilometre, which makes it the fifth-most densely populated city with over 250,000 residents in North America behind New York City, Guadalajara, San Francisco, and Mexico City according to the 2011 census. Vancouver is one of the most ethnically and linguistically diverse cities in Canada according to that census; 52% of its residents have a first language other than English. Roughly 30% of the city's inhabitants are of Chinese heritage. Vancouver is classed as a Beta global city.
Vancouver is consistently named as one of the top five worldwide cities for livability and quality of life,
and the Economist Intelligence Unit acknowledged it as the first city ranked among the top-ten of the world's most well-living cities
for five consecutive years.
Vancouver has hosted many international conferences and events, including the 1954 British Empire and Commonwealth Games, UN Habitat I, Expo 86, the World Police and Fire Games in 1989 and 2009; and the 2010 Winter Olympics and Paralympics which were held in Vancouver and Whistler, a resort community 125 km (78 mi) north of the city. In 2014, following thirty years in California, the TED conference made Vancouver its indefinite home. Several matches of the 2015 FIFA Women's World Cup were played in Vancouver, including the final at BC Place.The original settlement, named Gastown, grew up on clearcuts on the west edge of the Hastings Mill logging sawmill's property, where a makeshift tavern had been set up on a plank between two stumps and the proprietor, Gassy Jack, persuaded the curious millworkers to build him a tavern, on July 1, 1867. From that first enterprise, other stores and some hotels quickly appeared along the waterfront to the west. Gastown became formally laid out as a registered townsite dubbed Granville, B.I. (""B.I"" standing for ""Burrard Inlet""). As part of the land and political deal whereby the area of the townsite was made the railhead of the Canadian Pacific Railway (CPR), it was renamed ""Vancouver"" and incorporated shortly thereafter as a city, in 1886. By 1887, the Canadian Pacific transcontinental railway was extended westward to the city to take advantage of its large natural seaport to the Pacific Ocean, which soon became a vital link in a trade route between the Orient / East Asia, Eastern Canada, and Europe.
As of 2014, Port Metro Vancouver is the third-largest port by tonnage in the Americas (recently displacing New York City), 27th in the world, the busiest and largest in Canada, and the most diversified port in North America.
While forestry remains its largest industry, Vancouver is well known as an urban centre surrounded by nature, making tourism its second-largest industry.Major film production studios in Vancouver and nearby Burnaby have turned Greater Vancouver and nearby areas into one of the largest film production centres in North America, earning it the nickname ""Hollywood North"".", ﻿45.6349,122.5957
139,Fort Lauderdale,Florida,182595,165521,+10.32,34.6  ,89.6 ,"5,166 ","1,995", ﻿26.1412°N 80.1467°W,"Fort Lauderdale () is a city in the U.S. state of Florida,  28 miles (45 km) north of Miami. It is the county seat of Broward County.  As of the 2017 census, the city has an estimated population of 180,072. Fort Lauderdale is a principal city of the Miami metropolitan area, which was home to an estimated 6,158,824 people in 2017.The city is a popular tourist destination, with an average year-round temperature of 75.5 °F (24.2 °C) and 3,000 hours of sunshine per year. Greater Fort Lauderdale, encompassing all of Broward County, hosted 12 million visitors in 2012, including 2.8 million international visitors. In 2012, the county collected $43.9 million from the 5% hotel tax it charges, after hotels in the area recorded an occupancy rate for the year of 72.7 percent and an average daily rate of $114.48. The district has 561 hotels and motels comprising nearly 35,000 rooms. Forty-six cruise ships sailed from Port Everglades in 2012. Greater Fort Lauderdale has over 4,000 restaurants, 63 golf courses, 12 shopping malls, 16 museums, 132 nightclubs, 278 parkland campsites, and 100 marinas housing 45,000 resident yachts.Fort Lauderdale is named after a series of forts built by the United States during the Second Seminole War. The forts took their name from Major William Lauderdale (1782–1838), younger brother of Lieutenant Colonel James Lauderdale. William Lauderdale was the commander of the detachment of soldiers who built the first fort. However, development of the city did not begin until 50 years after the forts were abandoned at the end of the conflict.
Three forts named ""Fort Lauderdale"" were constructed: the first was at the fork of the New River, the second was at Tarpon Bend on the New River between the present-day Colee Hammock and Rio Vista neighborhoods, and the third was near the site of the Bahia Mar Marina.", ﻿26.1412,80.1467
140,Sioux Falls,South Dakota,181883,153888,+18.19,75.4  ,195.3 ,"2,312 ",893, ﻿43.5383°N 96.7320°W,"Sioux Falls () (Lakota: Íŋyaŋ Okábleča Otȟúŋwahe; ""Stone Shatter City"") is the most populous city in the U.S. state of South Dakota and the 143rd-most populous city in the United States. It is the county seat of Minnehaha County and also extends into Lincoln County to the south, proximate with the Minnesota state line. It is the 47th-fastest-growing city in the United States and the fastest-growing metro area in South Dakota, with a population increase of 22% between 2000 and 2010.As of 2019, Sioux Falls had an estimated population of 187,200. The metropolitan population of 265,653 accounts for 29% of South Dakota's population. It is also the primary city of the Sioux Falls-Sioux City Designated Market Area (DMA), a larger media market region that covers parts of four states and has a population of 1,043,450. Chartered in 1856 on the banks of the Big Sioux River, the city is situated in the rolling hills at the junction of Interstate 90 and Interstate 29.", ﻿43.5383,96.7320
141,Ontario,California,181107,163924,+10.48,49.9  ,129.2 ,"3,471 ","1,340", ﻿34.0394°N 117.6042°W,"Ontario ( (listen); French pronunciation: [ɔ̃taʁjo]) is one of the 13 provinces and territories of Canada and is located in east-central Canada. It is Canada's most populous province accounting for 38.3 percent of the country's population, and is the second-largest province in total area. Ontario is fourth-largest jurisdiction in total area when the territories of the Northwest Territories and Nunavut are included. It is home to the nation's capital city, Ottawa, and the nation's most populous city, Toronto, which is also Ontario's provincial capital.
Ontario is bordered by the province of Manitoba to the west, Hudson Bay and James Bay to the north, and Quebec to the east and northeast, and to the south by the U.S. states of (from west to east) Minnesota, Michigan, Ohio, Pennsylvania, and New York. Almost all of Ontario's 2,700 km (1,678 mi) border with the United States follows inland waterways: from the west at Lake of the Woods, eastward along the major rivers and lakes of the Great Lakes/Saint Lawrence River drainage system. These are the Rainy River, the Pigeon River, Lake Superior, the St. Marys River, Lake Huron, the St. Clair River, Lake St. Clair, the Detroit River, Lake Erie, the Niagara River, Lake Ontario and along the St. Lawrence River from Kingston, Ontario, to the Quebec boundary just east of Cornwall, Ontario.  There is only about 1 km (0.6 mi) of land border made up of portages including Height of Land Portage on the Minnesota border.Ontario is sometimes conceptually divided into two regions, Northern Ontario and Southern Ontario. The great majority of Ontario's population and arable land is in the south. In contrast, the larger, northern part of Ontario is sparsely populated with cold winters and heavy forestation.", ﻿34.0394,117.6042
142,Chattanooga,Tennessee,180557,167674,+7.68,143.1  ,370.6 ,"1,241 ",479, ﻿35.0660°N 85.2484°W,"Chattanooga is a city located in Hamilton County, southeastern Tennessee, along the Tennessee River bordering Georgia. With an estimated population of 179,139 in 2017, it is the fourth-largest city in Tennessee and one of the two principal cities of East Tennessee, along with Knoxville. Served by multiple railroads and Interstate highways, Chattanooga is a transit hub. Chattanooga lies 118 miles (190 km) northwest of Atlanta, Georgia, 112 miles (180 km) southwest of Knoxville, Tennessee, 134 miles (216 km) southeast of Nashville, Tennessee, 102 miles (164 km) east-northeast of Huntsville, Alabama, and 147 miles (237 km) northeast of Birmingham, Alabama.
The city, with a downtown elevation of approximately 680 feet (210 m), lies at the transition between the ridge-and-valley portion of the Appalachian Mountains and the Cumberland Plateau. Surrounded by mountains and ridges, the official nickname for Chattanooga is ""Scenic City"", reinforced by the city's reputation for outdoor activities. Unofficial nicknames include ""River City"", ""Chatt"", ""Nooga"", ""Chattown"", and ""Gig City"", referencing Chattanooga's claims that it has the fastest internet service in the Western Hemisphere.Chattanooga is internationally known for the 1941 song ""Chattanooga Choo Choo"" by Glenn Miller and his orchestra. Chattanooga is home to the University of Tennessee at Chattanooga (UTC) and Chattanooga State Community College.
The city has its own typeface, Chatype, which was launched in August 2012. According to the Nooga.com website, this marks the first time that an American city has its own custom-made typeface and also the first time a crowd-funded custom-made typeface has been used for any municipality in the world.", ﻿35.0660,85.2484
143,Providence,Rhode Island,179335,178042,+0.73,18.4  ,47.7 ,"9,740 ","3,760", ﻿41.8231°N 71.4188°W,Summary not be fetched due to disambiguation, ﻿41.8231,71.4188
144,Newport News,Virginia,178626,180719,−1.16,69.1  ,179.0 ,"2,631 ","1,016", ﻿37.0762°N 76.5220°W,"Newport News is an independent city in the U.S. state of Virginia. As of the 2010 census, the population was 180,719. In 2013, the population was estimated to be 183,412, making it the fifth-most populous city in Virginia.
Newport News is included in the Hampton Roads metropolitan area. It is at the southeastern end of the Virginia Peninsula, on the northern shore of the James River extending southeast from Skiffe's Creek along many miles of waterfront to the river's mouth at Newport News Point on the harbor of Hampton Roads. The area now known as Newport News was once a part of Warwick County. Warwick County was one of the eight original shires of Virginia, formed by the House of Burgesses in the British Colony of Virginia by order of King Charles I in 1634. The county was largely composed of farms and undeveloped land until almost 250 years later.In 1881, fifteen years of explosive development began under the leadership of Collis P. Huntington, whose new Peninsula Extension of the Chesapeake and Ohio Railway from Richmond opened up means of transportation along the Peninsula and provided a new pathway for the railroad to bring West Virginia bituminous coal to port for coastal shipping and worldwide export. With the new railroad came a terminal and coal piers where the colliers were loaded. Within a few years, Huntington and his associates also built a large shipyard. In 1896, the new incorporated town of Newport News, which had briefly replaced Denbigh as the county seat of Warwick County, had a population of 9,000. In 1958, by mutual consent by referendum, Newport News was consolidated with the former Warwick County (itself a separate city from 1952 to 1958), rejoining the two localities to approximately their pre-1896 geographic size. The more widely known name of Newport News was selected as they formed what was then Virginia's third largest independent city in population.With many residents employed at the expansive Newport News Shipbuilding, the joint U.S. Air Force-U.S. Army installation at Joint Base Langley–Eustis, and other military bases and suppliers, the city's economy is very connected to the military. The location on the harbor and along the James River facilitates a large boating industry which can take advantage of its many miles of waterfront. Newport News also serves as a junction between the rails and the sea with the Newport News Marine Terminals located at the East End of the city. Served by major east-west Interstate Highway 64, it is linked to others of the cities of Hampton Roads by the circumferential Hampton Roads Beltway, which crosses the harbor on two bridge-tunnels. Part of the Newport News/Williamsburg International Airport is in the city limits.", ﻿37.0762,76.5220
145,Rancho Cucamonga,California,177751,165269,+7.55,40.0  ,103.6 ,"4,413 ","1,704", ﻿34.1233°N 117.5642°W,"Rancho Cucamonga was a 13,045-acre (52.79 km2) Mexican land grant in present-day San Bernardino County, California given in 1839 to dedicated soldier, smuggler and politician, Tiburcio Tapia by Mexican governor Juan Bautista Alvarado. The grant formed parts of present-day Rancho Cucamonga and Upland. It extended easterly from San Antonio Creek to what is now Hermosa Avenue, and from today's Eighth Street to the mountains.", ﻿34.1233,117.5642
146,Santa Rosa,California,177586,167815,+5.82,41.3  ,107.0 ,"4,241 ","1,637", ﻿38.4468°N 122.7061°W,"Santa Rosa (lit. Spanish for ""Saint Rose"") is a city in and the county seat of Sonoma County, in California's Wine Country. Its estimated 2016 population was 175,155. Santa Rosa is the largest city in California's Redwood Empire,   Wine Country and the North Bay; the fifth most populous city in the San Francisco Bay Area after San Jose, San Francisco, Oakland, and Fremont; and the 28th most populous city in California.", ﻿38.4468,122.7061
147,Oceanside,California,176080,167086,+5.38,41.3  ,107.0 ,"4,249 ","1,641", ﻿33.2245°N 117.3062°W,"Oceanside is a coastal city located on California's South Coast. It is the third-largest city in San Diego County, California. The city had a population of 167,086 at the 2010 census. Together with  Carlsbad and Vista, it forms a tri-city area. Oceanside is located just south of Marine Corps Base Camp Pendleton.", ﻿33.2245,117.3062
148,Salem,Oregon,173442,154637,+12.16,48.6  ,125.9 ,"3,445 ","1,330", ﻿44.9237°N 123.0232°W,Summary not be fetched due to disambiguation, ﻿44.9237,123.0232
149,Elk Grove,California,172886,153015,+12.99,42.2  ,109.3 ,"4,022 ","1,553", ﻿38.4146°N 121.3850°W,"Elk Grove is a city in Sacramento County, California, located just south of the state capital of Sacramento. It is part of the Sacramento–Arden-Arcade–Roseville Metropolitan Statistical Area. As of 2018, the population of the city was estimated at 173,702. The second-largest city in Sacramento County, Elk Grove was the fastest growing city in the U.S. between July 1, 2004, and July 1, 2005. The City of Elk Grove incorporated on July 1, 2000. It is a general law city with a council/manager form of government. One of Elk Grove's most significant aspects is the Elk Grove Unified School District, which is the city's largest employer. 

", ﻿38.4146,121.3850
150,Garden Grove,California,172646,170883,+1.03,18.0  ,46.6 ,"9,714 ","3,751", ﻿33.7788°N 117.9605°W,"Garden Grove is a city in northern Orange County, California, United States, located 34 miles (55 km) southeast of the city of Los Angeles in the Los Angeles metropolitan area. The population was 170,883 at the 2010 United States Census. State Route 22, also known as the Garden Grove Freeway, passes through the city in an east-west direction. The western portion of the city is known as West Garden Grove.", ﻿33.7788,117.9605
151,Pembroke Pines,Florida,172374,154019,+11.92,33.0  ,85.5 ,"5,109 ","1,973", ﻿26.0210°N 80.3404°W,"Pembroke Pines is a city in southern Broward County, Florida, United States. Pembroke Pines' current population is estimated at 170,712 as of 2017. The city had a population of 154,750 as of the 2010 census, making it the second-most populous city in Broward County after Fort Lauderdale, and the 11th-most populous in Florida. It is a principal city of the Miami metropolitan area, which was home to an estimated 6,012,331 people in 2015.", ﻿26.0210,80.3404
152,Peoria,Arizona,172259,154065,+11.81,175.7  ,455.1 ,934 ,361, ﻿33.7862°N 112.3080°W,Summary not be fetched due to disambiguation, ﻿33.7862,112.3080
153,Eugene,Oregon,171245,156185,+9.64,44.1  ,114.2 ,"3,777 ","1,458", ﻿44.0567°N 123.1162°W,Summary not be fetched due to disambiguation, ﻿44.0567,123.1162
154,Corona,California,168819,152374,+10.79,39.5  ,102.3 ,"4,222 ","1,630", ﻿33.8620°N 117.5655°W,"A corona (Latin, 'crown') is an aura of plasma that surrounds the Sun and other stars. The Sun's corona extends millions of kilometres into outer space and is most easily seen during a total solar eclipse, but it is also observable with a coronagraph. The word corona is a Latin word meaning ""crown"", from the Ancient Greek κορώνη (korōnè, “garland, wreath”).
Spectroscopy measurements indicate strong ionization in the corona and a plasma temperature in excess of 1000000 kelvins, much hotter than the surface of the Sun.
Light from the corona comes from three primary sources, from the same volume of space. The K-corona (K for kontinuierlich, ""continuous"" in German) is created by sunlight scattering off free electrons; Doppler broadening of the reflected photospheric absorption lines spreads them so greatly as to completely obscure them, giving the spectral appearance of a continuum with no absorption lines. The F-corona (F for Fraunhofer) is created by sunlight bouncing off dust particles, and is observable because its light contains the Fraunhofer absorption lines that are seen in raw sunlight; the F-corona extends to very high elongation angles from the Sun, where it is called the zodiacal light. The E-corona (E for emission) is due to spectral emission lines produced by ions that are present in the coronal plasma; it may be observed in broad or forbidden or hot spectral emission lines and is the main source of information about the corona's composition.", ﻿33.8620,117.5655
155,Cary,North Carolina,168160,135234,+24.35,56.5  ,146.3 ,"2,873 ","1,109", ﻿35.7809°N 78.8133°W,Summary not be fetched due to disambiguation, ﻿35.7809,78.8133
156,Springfield,Missouri,168122,159498,+5.41,82.3  ,213.2 ,"2,033 ",785, ﻿37.1942°N 93.2913°W,Summary not be fetched due to disambiguation, ﻿37.1942,93.2913
157,Fort Collins,Colorado,167830,143986,+16.56,55.8  ,144.5 ,"2,943 ","1,136", ﻿40.5482°N 105.0648°W,"Fort Collins is the Home Rule Municipality that is the county seat and the most populous municipality of Larimer County, Colorado, United States. Situated on the Cache La Poudre River along the Colorado Front Range, Fort Collins is located 56 mi (90 km) north of the Colorado State Capitol in Denver. With a 2016 estimated population of 161,000, it is the fourth most populous city in Colorado after Denver, Colorado Springs, and Aurora. Fort Collins is a midsize college city, home to Colorado State University.", ﻿40.5482,105.0648
158,Jackson,Mississippi,164422,173514,−5.24,111.0  ,287.5 ,"1,524 ",588, ﻿32.3158°N 90.2128°W,Summary not be fetched due to disambiguation, ﻿32.3158,90.2128
159,Alexandria,Virginia,160530,139966,+14.69,15.0  ,38.8 ,"10,387 ","4,010", ﻿38.8201°N 77.0841°W,"Alexandria ( or ; Egyptian Arabic: إسكندريه‎ Eskendereyya; Arabic: الإسكندرية‎ al-ʾIskandariyya; Coptic: ⲁⲗⲉⲝⲁⲛⲇⲣⲓⲁ Alexandria or ⲣⲁⲕⲟϯ Rakote) is the second-largest city in Egypt and a major economic centre, extending about 32 km (20 mi) along the coast of the Mediterranean Sea in the north central part of the country. Its low elevation on the Nile delta makes it highly vulnerable to rising sea levels. Alexandria is an important industrial center because of its natural gas and oil pipelines from Suez. Alexandria is also a popular tourist destination.
Alexandria was founded around a small, ancient Egyptian town c. 332 BC by Alexander the Great, king of Macedon and leader of the Greek League of Corinth, during his conquest of the Achaemenid Empire. Alexandria became an important center of Hellenistic civilization and remained the capital of Ptolemaic Egypt and Roman and Byzantine Egypt for almost 1,000 years, until the Muslim conquest of Egypt in AD 641, when a new capital was founded at Fustat (later absorbed into Cairo). Hellenistic Alexandria was best known for the Lighthouse of Alexandria (Pharos), one of the Seven Wonders of the Ancient World; its Great Library (the largest in the ancient world); and the Necropolis, one of the Seven Wonders of the Middle Ages. Alexandria was at one time the second most powerful city of the ancient Mediterranean region, after Rome. Ongoing maritime archaeology in the harbor of Alexandria, which began in 1994, is revealing details of Alexandria both before the arrival of Alexander, when a city named Rhacotis existed there, and during the Ptolemaic dynasty.
From the late 18th century, Alexandria became a major center of the international shipping industry and one of the most important trading centers in the world, both because it profited from the easy overland connection between the Mediterranean Sea and the Red Sea, and the lucrative trade in Egyptian cotton.", ﻿38.8201,77.0841
160,Hayward,California,159620,144186,+10.70,45.5  ,117.8 ,"3,493 ","1,349", ﻿37.6287°N 122.1024°W,Summary not be fetched due to disambiguation, ﻿37.6287,122.1024
161,Lancaster,California,159053,156633,+1.55,94.3  ,244.2 ,"1,698 ",656, ﻿34.6936°N 118.1753°W,Summary not be fetched due to disambiguation, ﻿34.6936,118.1753
162,Lakewood,Colorado,156798,142980,+9.66,42.9  ,111.1 ,"3,599 ","1,390", ﻿39.6989°N 105.1176°W,Summary not be fetched due to disambiguation, ﻿39.6989,105.1176
163,Clarksville,Tennessee,156794,132929,+17.95,98.3  ,254.6 ,"1,529 ",590, ﻿36.5664°N 87.3452°W,Summary not be fetched due to disambiguation, ﻿36.5664,87.3452
164,Palmdale,California,156667,152750,+2.56,106.0  ,274.5 ,"1,484 ",573, ﻿34.5910°N 118.1054°W,"Palmdale is a city in northern Los Angeles County in the U.S. state of California. The city lies in the Antelope Valley region of Southern California. The San Gabriel Mountains separate Palmdale from the city of Los Angeles to the south.
On August 24, 1962, Palmdale became the first community in the Antelope Valley to incorporate. Forty-seven years later, in November 2009, voters approved making it a charter city.  Palmdale's population was 152,750 at the 2010 census, up from 116,670 at the 2000 census. Palmdale is the 33rd most populous city in California. Together with its immediate northern neighbor, the city of Lancaster, the Palmdale/Lancaster urban area had an estimated population of 513,547 as of 2013.", ﻿34.5910,118.1054
165,Salinas,California,156259,150441,+3.87,23.6  ,61.1 ,"6,662 ","2,572", ﻿36.6902°N 121.6337°W,Summary not be fetched due to disambiguation, ﻿36.6902,121.6337
